en	zh	note
mixed language	混合语
mobility	流动性/移动性
mode	语式
model	模型
moribund language	垂死语言
motivation	动机/动因
multilingualism	多语现象
multiplexity	复合度
negative face	消极面子
negative politeness	消极礼貌
neogrammarians	新语法学派
network strength scale	网络强度尺度
nonce borrowing	临时借用
norm	规范
obligatory rule	强制性规则
observer's paradox	观察者悖论
optional rule	可择性规则
ordered heterogeneity	异质有序
orientation	取向
orthography	正词法
out-group	外群体
overt prestige	显性声望
paradigm	范式
paralanguage	副语言
participant	参与者
participation observation	参与观察法
passage reading style	读短文体
pattern	模式
performance	表演
perspective	视角/角度
philology	语文学
pidgin	皮钦语
pidginization	皮钦化
pilot study	试点研究
politeness principle	礼貌原则
politeness strategy	礼貌策略
positive face	积极面子
positive politeness	积极礼貌
positivism	实证论
power	权势/权力
pragmatics	语用学
preferred sequence	合意序列
prestige language	强势语言
prestige planning	声望规划
presupposition	前设
principle of least effort	省力原则
principle of multiple causes	多因素原则
probability	概率
procedure	程序
productive bilingualism	生产性双语现象
proposition	命题
proto-language	祖语
pseudo-kinship term	拟亲属称呼语
psycholinguistics	心理语言学
qualitative analysis	定性分析
quantitative analysis	定量分析
random sample	随机取样
rank of imposition	强加程度
rapid and anonymous observation	快速隐匿观察法
rationality	理性
real time	真实时间
redressive action	补偿行为
referee design	参照者设计
regional dialect	地域方言
repair system	修正系统
restricted code	局限语码
reversing language shift	逆向语言转用
Sapir-Whorf hypothesis	萨丕尔-沃夫假说
schema	图式
script	脚本
secular linguistics	世俗语言学
self-discrepancy	自我不一致
self-evaluation test	自我评价测验
self-guide	自我导向
self-identity	自我认同
self-translation	自我转换
semantic equivalence	语义对等性
sequential analysis	序列分析
setting/occasion	场合
sex	生理性别
sharp stratification	显著分化
side sequence	分叉序列
situated meaning	情景意义
situation	情景
situational code-switching	情景型语码转换
social action	社会行动
social anthropology	社会人类学
social attribute	社会属性
social behavior	社会行为
social category	社会范畴
social class	社会阶层
social context	社会语境
social dialect/sociolect	社会方言
social distance	社会距离
social factor	社会因素
social identity theory	社会认同理论
social institution	社会制度
social mobility	社会流动性
social network	社会网络
social order	社会秩序
social phenomenon	社会现象
social practice	社会实践
social psychology	社会心理学
social psychology of language	语言社会心理学
social semiotic	社会符号
social significance/social meaning	社会意义
social stratification	社会分层
social structure	社会结构
social variable	社会变项
socialization	社会化
societal bilingualism	社会双语
socioeconomic status	社会经济地位
sociolinguistics	社会语言学
sociolinguistics of distribution	分布性社会语言学
sociolinguistics of globalization	全球化社会语言学
sociolinguistics of mobility	移动性社会语言学
sociology of language	语言社会学
solidarity	同等关系
sound change	音变
source language	源语言
speaking	说话/言谈
speech/parole	言语
speech accommodation theory	言语顺应理论
speech act theory	言语行为理论
speech act/verbal behavior	言语行为
speech activity	言语活动
speech community	言语共同体/社群/社区
speech event	言语事件
speech situation	言语场景
Standard Average European (SAE)	一般标准欧洲语言
standard dialect	标准话
standard language	标准语
statement	陈述
status	地位/状态
status planning	地位规划
stereotype	成见项
stratification	分层
structural unit	结构单位
style	语体/风格
style shifting	语体转换
subjective reaction test	主观反应测试
substratum language	底层语言
subtractive bilingualism	削减性双语现象
superposed variety	高置变体
superstratum language	表层语言
survey	普查
symbolic capital	符号资本
symbolic system	符号系统
systemic functional grammar	系统功能语法
target language	目标语
tenor	语旨
text analysis	篇章分析
text/discourse	语篇
textual rhetoric	语篇修辞
theory	理论
they-code	他方码
threatened language	受威胁语言
transcultural flow	跨文化流变
transfer	迁移
transition	过渡
transition problem	过渡问题
translocal language	超地缘语言
turn	话轮
turn transition relevant place	话轮过渡关联位置
turn-allocation component	话轮分配部分
turn-constructional component	话轮构建部分
turn-taking	话轮转换
turn-taking system	话轮转换体系
uniformitarianism	均变论
unmarked choice	无标记选择
urban dialect	城市方言
urban dialectology	城市方言学
utterance/discourse	话语
variable rule analysis (VARBRUL)	变项规则分析法
variability	变异性
variable	变项/变量/变数
variant	变异形式/变式
variation	变异
variety	变体
verbal communication	言语交际
verbal conflict	言语冲突
verification	验证/证实
vernacular	土语
wave theory	波浪模式
we-code	我方码
word-list reading style	念词表语体
world Englishes	世界英语
world language	全球性语言
register	语域
enregisterment	语域化	Agha
third wave	第三次浪潮	变异研究第三次浪潮
stance	立场
persona	人格形象	也作「人设」
linguistic landscape	语言景观
language ideology	语言意识形态
salience	显著性
sociolinguistic interview	社会语言学访谈
standard variety	标准变体
prestige	声望
accommodation	顺应/适应	言语顺应理论/交际适应理论
vowel shift	元音推移
merger	合并
phonological	音系的
morphosyntactic	形态句法的
mixed-effects model	混合效应模型
fixed effect	固定效应
random effect	随机效应
token	词元
corpus	语料库
